EPA_ID,Site Name,City,State,Search ID,Score,NAI,NAI Entity,NPL Status,Initial Assessment Completed,Proposed to NPL,Finalized on NPL,Remedial Investigation Started,Remedy Selected,Final Remedy Selected,Remedial Action Started,Final Remedial Action Started,Construction Completed,Deleted from NPL,Most Recent Five-Year Review,Achieved Sitewide Ready for Anticipated Reuse,ROD URL,Contaminants,Type of Contaminated Media,Cost of Cleanup,Community Advisory Group,Number of Responsible Parties,Type of Responsible Parties,PtoNPL_year,pop_m_3m,pop_med_3m,nhwht_m_3m,nhwht_med_3m,nhblk_m_3m,nhblk_med_3m,ntv_m_3m,ntv_med_3m,hisp_m_3m,hisp_med_3m,punemp_m_3m,punemp_med_3m,hs_m_3m,hs_med_3m,col_m_3m,col_med_3m,phs_m_3m,phs_med_3m,pcol_m_3m,pcol_med_3m,npov_m_3m,npov_med_3m,ppov_m_3m,ppov_med_3m,nwpov_m_3m,nwpov_med_3m,pwpov_m_3m,pwpov_med_3m,nbpov_m_3m,nbpov_med_3m,pbpov_m_3m,pbpov_med_3m,nnapov_m_3m,nnapov_med_3m,pnapov_m_3m,pnapov_med_3m,nhpov_m_3m,nhpov_med_3m,phpov_m_3m,phpov_med_3m,year
AK0001897602,SALT CHUCK MINE,THORNE BAY,AK,1001984,50.0,Yes,Organized Village of Kasaan(Current),Final NPL,2/7/2002,9/23/2009,3/4/2010,4/15/2011,,Estimated Jun - Aug 2026,Not Yet Achieved,,Not Yet Achieved,Not Yet Achieved,Not Yet Achieved,Not Yet Achieved,,PDF not found,PDF not found,PDF not found,PDF not found,PDF not found,PDF not found,2009,1837.0,1837.0,1322.0,1322.0,6.0,6.0,457.0,457.0,21.0,21.0,0.1460280373831775,0.1460280373831775,698.0,698.0,187.0,187.0,0.5787728026533997,0.5787728026533997,0.1550580431177446,0.1550580431177446,265.0,265.0,0.1445717403164211,0.1445717403164211,145.0,145.0,0.1114527286702536,0.1114527286702536,0.0,0.0,0.0,0.0,100.0,100.0,0.2314814814814814,0.2314814814814814,0.0,0.0,0.0,0.0,2000.0
AK1570028646,EIELSON AIR FORCE BASE,FAIRBANKS,AK,1000110,48.14,No,,Final NPL,10/7/1988,7/14/1989,11/21/1989,5/21/1991,9/29/1992,Estimated Feb - Apr 2026,5/5/1993,,9/30/1998,Not Yet Achieved,9/27/2023,Not Yet Achieved,https://semspub.epa.gov/src/document/10/1277516,"**Contaminants Identified:**  - **PAHs (Polycyclic Aromatic Hydrocarbons):**   - Benzo(a)anthracene   - Benzo(a)pyrene   - Benzo(b)fluoranthene   - Benzo(ghi)perylene   - Indeno[1,2,3-cd]pyrene  - **Pesticides:**   - DDT (4,4'-DDT)   - DDE (4,4'-DDE)   - DDD (4,4'-DDD)  - **VOCs (Volatile Organic Compounds):**   - Benzene   - Toluene   - Ethylbenzene   - Xylenes   - 1,2-Dichloroethylene  - **Fuel-related Compounds:**   - Kerosene   - Naphthalene   - 2-Methylnaphthalene (commonly found in JP-4 fuel)   - Gasoline-range petroleum hydrocarbons   - Diesel-range petroleum hydrocarbons  - **Solvents:**   - Chlordane   - Heptachlor Epoxide  This list includes the specific contaminants mentioned and categorized based on their chemical properties or common classifications.", - Soil - Groundwater - Sediment - surface water,Not specified.,No,1 PRP: Eielson AFB,Government agency,1989,4001.4,4936.0,3330.0,4280.0,334.4,93.0,96.2,63.0,153.8,105.0,0.1084736054192839,0.109286502195541,1015.75,1084.0,289.25,342.0,0.6006227759651266,0.5953105622157917,0.1486457976562973,0.1625177710898986,264.75,323.5,0.0781043606737456,0.0776312591152163,267.5,267.5,0.0790912244391324,0.0790912244391324,44.0,44.0,0.0640465793304221,0.0640465793304221,0.0,0.0,0.0,0.0,33.0,33.0,0.1522696155871511,0.1522696155871511,1980.0
AK4170024323,ADAK NAVAL AIR STATION,ADAK,AK,1000128,51.37,No,,Final NPL,1/6/1992,10/14/1992,5/31/1994,11/24/1993,3/31/1995,Estimated Dec 2025 - Feb 2026,4/29/1996,Estimated Apr - Jun 2027,Not Yet Achieved,Not Yet Achieved,12/13/2021,Not Yet Achieved,https://semspub.epa.gov/src/document/10/100044490,**Contaminants Identified:**  - **VOCs (Volatile Organic Compounds):**   - Benzene   - Toluene   - Ethylbenzene   - Xylenes   - Methylene chloride   - Tetrachloroethene   - Trichloroethene  - **Diesel and Gasoline Range Organics:**   - Diesel-range organics (DRO)   - Gasoline-range organics (ORO)  - **Other Organic Compounds:**   - Bis(2-ethylhexyl)phthalate  - **Heavy Metals:**   - Lead  - **PCBs:**   - Polychlorinated biphenyls (PCBs), - Groundwater - Soil - Sediments - Aquatic biota (fish and shellfish),Not specified,Not specified,1 Navy,"Government agency, State regulatory body  Explanation: - The Navy is mentioned as the lead agency and responsible party for environmental investigations and cleanup. - The State of Alaska, through the Department of Environmental Conservation (ADEC), provides regulatory oversight and review.",1992,5345.0,5345.0,4107.0,4107.0,571.0,571.0,58.0,58.0,286.0,286.0,0.050345508390918,0.050345508390918,1031.0,1031.0,481.0,481.0,0.387593984962406,0.387593984962406,0.1808270676691729,0.1808270676691729,67.0,67.0,0.02021726010863,0.02021726010863,41.0,41.0,0.0153961697333834,0.0153961697333834,9.0,9.0,0.0334572490706319,0.0334572490706319,0.0,0.0,0.0,0.0,8.0,8.0,0.0451977401129943,0.0451977401129943,1990.0
AK6210022426,FORT WAINWRIGHT,FORT WAINWRIGHT,AK,1001146,42.4,No,,Final NPL,10/14/1988,7/14/1989,8/30/1990,9/15/1992,7/20/1995,1/29/2014,5/30/1996,6/29/2015,9/27/2002,Not Yet Achieved,9/23/2021,Not Yet Achieved,https://semspub.epa.gov/src/document/10/1410589,"**Contaminants of Concern (COCs):**  - **Volatile Organic Compounds (VOCs):**   - Trichloroethene (TCE)    - **Semivolatile Organic Compounds (SVOCs):**   - 1,2,3-Trichloropropane (TCP)   - DBCP    - **Organics:**   - Diesel-range organics (DRO)   - Residual-range organics (RRO)  - **Metals:**   - Metals (not specified further)", - Groundwater - Subsurface Soil - surface water - Sediment - Soil gas - Indoor Air - Outdoor Air,"- Alternative S1/GW1 (No Action):    - Capital Cost: $0   - Annual O&M Cost: $0   - Total Cost (30-year present value [PV30]): $0  - Alternative S2/GW2 (Institutional Controls for Soil/MNA and Institutional Controls for Groundwater):   - Estimated cost for the OU6 remedy: $920,040  No other specific cost estimates were provided in the given sections.",No,1 U.S. Army Garrison FWA,"Government agency  The U.S. Army Garrison FWA is identified as the lead cleanup agency and Responsible Party for the OU6 remedial actions. Additionally, EPA and ADEC are listed as regulatory agencies overseeing the cleanup. No other types of responsible parties are mentioned in the provided sections.",1989,3035.2,2436.0,2532.6,2052.0,185.66666666666663,77.0,162.0,127.0,90.26666666666668,63.0,0.1163254237166416,0.1082881840525196,901.6428571428572,790.0,305.5,299.5,0.5885435187484124,0.5953105622157917,0.1872677551711763,0.1824216766162956,263.7142857142857,249.5,0.1019147589710563,0.0932358479463339,190.27272727272728,202.0,0.0940168377629756,0.0935185185185185,40.5,28.5,0.1302102132539742,0.0812657139076352,15.827471925636878,11.20689655172414,0.7777777777777778,1.0,18.125,23.5,0.1419861403211729,0.1522696155871511,1980.0
AK6214522157,FORT RICHARDSON (USARMY),ANCHORAGE,AK,1001455,50.0,No,,Final NPL,6/30/1992,6/23/1993,5/31/1994,11/29/1994,9/15/1997,,2/22/1998,,9/28/2006,Not Yet Achieved,2/22/2023,Not Yet Achieved,https://semspub.epa.gov/src/document/10/1277543,**Contaminants Identified:**  - **PAHs (Polycyclic Aromatic Hydrocarbons):**   - Phenanthrene   - Naphthalene  - **VOCs (Volatile Organic Compounds):**   - Carbon Tetrachloride   - Chloroform  - **Heavy Metals:**   - Chromium   - Barium  - **Pesticides:**   - EDB (2-Dibromoethane)  - **PCBs and Dioxin/Furans:**   - PCBs   - Dioxin/furan compounds, - Groundwater - Soil - surface water - Air,"- Alternative 2 (Land Use Controls, Natural Attenuation, and Monitoring): Estimated cost of $465,000. - Alternative 3 (Chemical Oxidation, Natural Attenuation, and Monitoring): Estimated capital cost of $335,000 and O&M cost of $582,000, totaling a present-worth cost of $917,000 over 30 years.   Note: Costs are based on a 30-year present worth analysis at a 7% discount rate.",No,1: The Army,Government agency (The Army),1993,5485.666666666667,7118.0,4058.3333333333335,5294.0,879.6666666666666,873.0,52.0,64.0,357.3333333333333,433.0,0.0662726766940145,0.0528089887640449,726.3333333333334,861.0,443.3333333333333,479.0,0.2918459960357798,0.2969989651604001,0.224533139207068,0.1838565022421524,255.66666666666663,193.0,0.044073766266417,0.0320917858330562,221.33333333333331,160.0,0.0509707902785951,0.033003300330033,21.0,28.0,0.0216591249347569,0.0274941084053417,13.333333333333334,5.0,0.1545983086680761,0.0568181818181818,12.0,8.0,0.022935218746737,0.0209424083769633,1990.0
AK8570028649,ELMENDORF AIR FORCE BASE,ANCHORAGE,AK,1000155,45.91,Yes,Knik Tribe(Current); Chickaloon Native Village(Current); Eklutna Native Village(Current),Final NPL,10/7/1988,7/14/1989,8/30/1990,1/1/1992,9/1/1992,,8/11/1993,,Not Yet Achieved,Not Yet Achieved,6/27/2024,Not Yet Achieved,https://semspub.epa.gov/src/document/10/100101008,"**Contaminants Identified:**  - **Pesticides:** Dieldrin - **VOCs (Volatile Organic Compounds):** Gasoline-range organics; benzene, toluene, ethylbenzene, and xylenes; diesel-range organics; residual-range organics; volatile organic compounds - **PAHs (Polycyclic Aromatic Hydrocarbons)** - **PCBs (Polychlorinated Biphenyls)** - **RCRA Metals**", - Soil,"- **Alternative 1**: No further actions; costs  $0 - **Alternative 2**:    - Estimated capital cost  $10,000 (for cap construction in 2008)   - Annual maintenance cost  $6,400   - Net present value over 30 years  $156,900 - **Alternative 3**:   - Estimated capital cost  $4,524,000   - Annual operation and maintenance costs  $0   - Net present value over 30 years  $4,524,000  Note: Costs are based on an order-of-magnitude engineering estimate expected to be within +50% to -30% of actual project cost.",No,0 Not specified,"Government agency  Explanation: The document sections provided indicate that the United States Air Force (USAF) is responsible for implementing, maintaining, monitoring, reporting, and enforcing land use controls at the site. There are no mentions of other types of responsible parties such as manufacturing companies or property owners involved in this specific ROD document section.",1989,5463.3,5350.0,4087.0,3451.0,571.3,628.0,372.4,296.5,239.3,274.0,0.1140233627482262,0.1087664183175587,1555.6,1725.5,494.6,441.0,0.5618415631258895,0.6005447295310251,0.1997480596398381,0.164301466017155,547.8,613.5,0.1075272202349238,0.0971856012839618,355.0,389.5,0.0886956245562922,0.0875338619830149,70.375,67.0,0.1035568084449349,0.1072888511253244,21.3325248222642,22.5,0.8888888888888888,1.0,38.44444444444444,25.0,0.1588015424649361,0.1397849462365591,1980.0
AKD004904215,ALASKA BATTERY ENTERPRISES,FAIRBANKS,AK,1000017,,No,,Deleted NPL,9/28/1984,6/24/1988,3/31/1989,5/4/1990,,3/2/1993,Not Yet Achieved,,3/2/1993,7/26/1996,Not Yet Achieved,6/17/2020,https://semspub.epa.gov/src/document/10/1231820,**Contaminants Identified:** - **Heavy Metals:** Lead (Pb), - Soil - Sediment - Groundwater,Not specified,No,"23 Earl Romans, 21 unnamed generators, 4 generator PRPs, Richard D. Bach, Pamela Brown, Eugene P. Hardy","Types of Responsible Parties Involved: - Property Owner - Generator - Business/Company (e.g., Fred Meyer, Inc.)",1988,2670.5,2178.0,2044.1666666666667,1653.0,293.8333333333333,75.5,154.0,112.0,102.33333333333331,62.0,0.1189722443284422,0.1116163506563889,836.6666666666666,790.0,192.16666666666663,191.5,0.6399478001364938,0.6655640638294178,0.141241599028143,0.135890294088126,291.5,257.0,0.1242113617368113,0.1207012300242316,187.5,203.0,0.1039459922624705,0.1112320960643142,57.5,57.0,0.1706941077597492,0.0997215488528319,17.472786479954244,11.20689655172414,0.8,1.0,11.333333333333334,6.0,0.0629868578255674,0.064516129032258,1980.0
AKD980988158,ARCTIC SURPLUS,FAIRBANKS,AK,1000082,,No,,Deleted NPL,9/30/1987,10/26/1989,8/30/1990,7/24/1992,,9/28/1995,,12/22/2003,4/18/2005,9/25/2006,12/12/2023,6/27/2006,https://semspub.epa.gov/src/document/10/1231436,"**Contaminants Identified:**  - **Heavy Metals:**   - Antimony   - Arsenic   - Manganese  - **VOCs (Volatile Organic Compounds):**   - Tetrachloroethylene   - Trichloroethylene   - 1,2,4-Trichlorobenzene  - **Pesticides:**   - Chlordane   - DDE   - DDT  - **PCBs (Polychlorinated Biphenyls):**   - Aroclor 1248   - Aroclor 1254   - Aroclor 1260  - **Dioxins/Furans:**   - Dioxins/Rirans (Note: ""Rirans"" might be a typo for ""Furans"")  - **Other Contaminants:**   - Lead", - Soil - Groundwater,"- Alternative 2 (Institutional Controls, Monitoring, and Off-Site Soil Removal): $1.5 million - Alternative 3 (Capping): $9.6 million - Alternative 4 (Consolidation and Capping): Not specified in the provided text. - Alternative 5 (Solvent Extraction and On-Site Solidification/Stabilization): $17.9 million - Alternative 6 (Solvent Extraction and On-Site Solidification/Stabilization of Hot-Spot Soils, with Consolidation and Capping of Remaining Soils): $15.1 million - Alternative 9 (Off-Site Treatment and Disposal): $18.6 million - Alternative 10 (Hot Spot Soil Offsite Treatment/Disposal with Capping of Contaminated Residual Soil): $16.4 million  These costs are presented as the 30-year present worth in terms of today's dollars at the time of the estimate. Actual costs could vary based on labor and material costs, final scope, schedule, and site conditions.",No,3 PRPs: 1. Defense Logistics Agency (DLA) 2. Alaska Department of Transportation (ADOT) 3. Other land owners (not named),"Types of Responsible Parties Involved: - Government agency (Defense Logistics Agency [DLA], Alaska Department of Transportation [ADOT]) - Property owner  Other entities mentioned but not categorized as responsible parties include the EPA and the Alaska Department of Environmental Conservation (ADEC).",1989,5374.0,5374.0,4360.5,4360.5,534.0,534.0,152.5,152.5,213.5,213.5,0.1052398504023938,0.1052398504023938,1432.5,1432.5,378.0,378.0,0.6166747059692399,0.6166747059692399,0.1625177710898986,0.1625177710898986,371.5,371.5,0.0776312591152163,0.0776312591152163,289.0,289.0,0.0766985138004246,0.0766985138004246,44.0,44.0,0.0640465793304221,0.0640465793304221,0.0,0.0,0.0,0.0,28.0,28.0,0.1244444444444444,0.1244444444444444,1980.0
AL3210020027,ANNISTON ARMY DEPOT (SOUTHEAST INDUSTRIAL AREA),ANNISTON,AL,400443,51.91,No,,Final NPL,8/11/1988,"07/22/1987, 10/15/1984",3/13/1989,12/12/1990,9/26/1991,,5/4/1992,3/5/2019,Not Yet Achieved,Not Yet Achieved,9/21/2020,Not Yet Achieved,https://semspub.epa.gov/src/document/04/11014548,**Contaminants Identified:**  - **VOCs (Volatile Organic Compounds):**   - TCE (Trichloroethylene)  - **Heavy Metals:**   - COC metals  - **Other Contaminants:**   - BEHP (Bis(2-ethylhexyl) phthalate)   - Chlorinated solvents (potential DNAPL source zones), - Groundwater - Soil - Sediment - surface water - Air (Indoor),"Not specified.  The provided text sections do not contain specific figures or estimates related to cleanup costs. They discuss various aspects of the remediation process, site complexities, and stakeholder decisions but omit financial details.",No,1 - federal government,"Responsible party types identified: - Federal government - Owner or operator (of treatment, storage, or disposal facilities) - Generator of hazardous waste  These roles are inferred from the responsibilities outlined in the document sections provided.",1987,4774.428571428572,4366.0,3836.0,2975.0,897.1428571428571,1040.0,4.428571428571429,4.0,28.142857142857142,24.0,0.0839271511200504,0.0903732809430255,2262.5714285714284,2126.0,146.57142857142858,102.0,0.8537914110230254,0.8619266055045871,0.0478055885273047,0.0413793103448275,748.1428571428571,660.0,0.163404407314087,0.1663656069364162,491.0,515.5,0.1531656977311496,0.1574642553214827,172.0,172.0,0.3548710590957235,0.3548710590957235,,,,,130.0,130.0,1.0,1.0,1980.0
AL6210020008,ALABAMA ARMY AMMUNITION PLANT,CHILDERSBURG,AL,400449,36.83,No,,Final NPL,Not Yet Achieved,10/15/1984,7/22/1987,3/15/1990,12/31/1991,,11/10/1992,,Not Yet Achieved,Not Yet Achieved,8/30/2023,Not Yet Achieved,https://semspub.epa.gov/src/document/04/11199777,"**Contaminants Identified:**  - **Heavy Metals:** Lead, various other metals (not specifically named) - **Nitroaromatic Explosives:** 2,4-DNT, 2,6-DNT, TNT, 2-A-4,6-DNT, 4-A-2,6-DNT, nitrobenzene, isomers of nitrotoluene - **Polychlorinated Biphenyls (PCBs):** Not specifically named but listed as a category of concern - **Polynuclear Aromatic Hydrocarbons (PAHs):** Not specifically named but listed as a category of concern - **Semivolatile Organic Compounds (SVOCs):** Not specifically named but listed as a category of concern - **Volatile Organic Compounds (VOCs):** Low concentrations of nitroaromatic compounds, carbon disulfide  This list includes both specific contaminants and broader categories identified in the provided sections.", - Soil - surface water - Sediment - Groundwater,Not specified,Not specified.,1 Alabama Army Ammunition Plant,"Government agency, Property owner  Explanation: - The Alabama Army Ammunition Plant is mentioned, which indicates government involvement. - References to owners or operators of the landfill suggest property owners are involved in managing and maintaining the site.",1984,5703.5,5019.5,4125.5,3335.5,1519.3333333333333,1556.0,5.833333333333333,1.0,46.16666666666666,52.0,0.108081155558006,0.1053400590073068,2617.5,2289.5,230.0,174.5,0.8516637100406407,0.8563981275772456,0.0550900638586321,0.0624913067542277,1172.1666666666667,1133.5,0.2264359769990469,0.2259586179982593,649.5,584.5,0.1485932303452951,0.1504843973218603,589.3333333333334,809.0,0.352332734563527,0.4365079365079365,,,,,3.0,3.0,0.075,0.075,1980.0
